Substructure,Frequency0,OccurrenceList0
[CH2:3][CH2:4][c:5],1,"0,0,0,1,0"
[CH2:4][c:5][cH:6],1,"0,0,0,1,0"
[CH2:4][c:5][cH:10],1,"0,0,0,1,0"
[c:5]([cH:6])[cH:10],1,"0,0,0,1,0"
[c:5][cH:6][cH:7],1,"0,0,0,1,0"
[c:5][cH:10][cH:9],1,"0,0,0,1,0"
[cH:6][cH:7][cH:8],1,"0,0,0,1,0"
[cH:7][cH:8][cH:9],1,"0,0,0,1,0"
[cH:8][cH:9][cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:6],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:10],1,"0,0,0,1,0"
[CH2:4][c:5]([cH:6])[cH:10],1,"0,0,0,1,0"
[CH2:4][c:5][cH:6][cH:7],1,"0,0,0,1,0"
[CH2:4][c:5][cH:10][cH:9],1,"0,0,0,1,0"
[c:5]([cH:6])[cH:10][cH:9],1,"0,0,0,1,0"
[c:5]([cH:6][cH:7])[cH:10],1,"0,0,0,1,0"
[c:5][cH:6][cH:7][cH:8],1,"0,0,0,1,0"
[c:5][cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[cH:6][cH:7][cH:8][cH:9],1,"0,0,0,1,0"
[cH:7][cH:8][cH:9][cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:6],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:10],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]([cH:6])[cH:10],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:6][cH:7],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:10][cH:9],1,"0,0,0,1,0"
[CH2:4][c:5]([cH:6])[cH:10][cH:9],1,"0,0,0,1,0"
[CH2:4][c:5]([cH:6][cH:7])[cH:10],1,"0,0,0,1,0"
[CH2:4][c:5][cH:6][cH:7][cH:8],1,"0,0,0,1,0"
[CH2:4][c:5][cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[c:5]([cH:6])[cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[c:5]([cH:6][cH:7])[cH:10][cH:9],1,"0,0,0,1,0"
[c:5]([cH:6][cH:7][cH:8])[cH:10],1,"0,0,0,1,0"
[c:5][cH:6][cH:7][cH:8][cH:9],1,"0,0,0,1,0"
[c:5][cH:10][cH:9][cH:8][cH:7],1,"0,0,0,1,0"
[cH:6][cH:7][cH:8][cH:9][cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]([cH:6])[cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:6][cH:7],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:10][cH:9],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]([cH:6][cH:7])[cH:10],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]([cH:6])[cH:10][cH:9],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:6][cH:7][cH:8],1,"0,0,0,1,0"
