,Substructure,Frequency0,Frequency1,Frequency2
236,OCCOCOC(CO)C(CO)OCO,0.0,1.0,0.0
237,OCCOCOC(C(O)CO)C(O)CO,0.0,1.0,0.0
238,OCCOCOC1COC(O)C(O)C1O,0.0,1.0,0.0
239,OCCOCOCC(CO)OC(O)CO,0.0,1.0,0.0
240,OCC(CO)OC1OCC(O)C(O)C1O,0.0,1.0,0.0
241,OCC(O)COC1OCC(O)C(O)C1O,0.0,1.0,0.0
242,OCOCCOC1OCC(O)C(O)C1O,0.0,1.0,0.0
243,OCOCC(CO)OCOCC(O)CO,0.0,1.0,0.0
244,OCOC(CO)COCOCC(O)CO,0.0,1.0,0.0
245,OCC(O)COCOCCOC(O)CO,0.0,1.0,0.0
246,OCC(O)COCOCC(O)C(O)CO,0.0,1.0,0.0
247,COC(OC(CO)C(O)CO)C(O)CO,0.0,1.0,0.0
248,COC(OC(CO)COCO)C(O)CO,0.0,1.0,0.0
249,COC(OCC(CO)OCO)C(O)CO,0.0,1.0,0.0
250,COC(OCCOC(O)CO)C(O)CO,0.0,1.0,0.0
251,COC(OCC(O)C(O)CO)C(O)CO,0.0,1.0,0.0
252,COC(CO)OC(CO)C(CO)OCO,0.0,1.0,0.0
253,COC(CO)OC(C(O)CO)C(O)CO,0.0,1.0,0.0
254,COC(CO)OC1COC(O)C(O)C1O,0.0,1.0,0.0
255,COC(CO)OCC(CO)OC(O)CO,0.0,1.0,0.0
256,COCOC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
257,OCC(O)C(O)COC(CO)C(O)CO,0.0,1.0,0.0
258,OCOCC(CO)OCC(O)C(O)CO,0.0,1.0,0.0
259,OCOC(CO)COCC(O)C(O)CO,0.0,1.0,0.0
260,OCC(O)OCCOCC(O)C(O)CO,0.0,1.0,0.0
261,OCC(O)C(O)COCC(O)C(O)CO,0.0,1.0,0.0
262,OCOC(CO)C(CO)OCC(O)CO,0.0,1.0,0.0
263,OCC(O)COC(C(O)CO)C(O)CO,0.0,1.0,0.0
264,OCC(O)COC1COC(O)C(O)C1O,0.0,1.0,0.0
265,OCC(O)COCC(CO)OC(O)CO,0.0,1.0,0.0
266,OCCOC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
267,OCC(CO)OC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
268,OCC(O)COC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
269,OCOCCOC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
270,OCC(CO)OC(CO)OC(CO)C(O)CO,0.0,1.0,0.0
271,OCOCC(CO)OC(CO)OC(CO)CO,0.0,1.0,0.0
272,OCOC(CO)COC(CO)OC(CO)CO,0.0,1.0,0.0
273,OCC(O)OCCOC(CO)OC(CO)CO,0.0,1.0,0.0
274,OCC(CO)OC(CO)OCC(O)C(O)CO,0.0,1.0,0.0
275,OCC(O)C(CO)OCOC(CO)C(O)CO,0.0,1.0,0.0
276,OCOCC(CO)OCOC(CO)C(O)CO,0.0,1.0,0.0
