smiles,group
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1cccc(Nc2ccnc3cc(Cl)ccc23)c1,not-antibacterial
Cc1ccc2[nH]c(=O)c(C3NC(=S)N(c4ccccc4)C4=C3C(=O)CC(C)(C)C4)cc2c1,not-antibacterial
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(C)NC(=O)C(CO)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(N)Cc1ccccc1)C(C)O)C(C)CC)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccccc1)C(N)=O,not-antibacterial
N#CCN(Cc1ccc(Cl)cc1)c1ccccc1,not-antibacterial
C=CCCC(C)=NNc1nc(-c2ccc(OC)cc2)cs1,not-antibacterial
Fc1ccc(Nc2nc(Cl)nc(Nc3ccc(F)cc3)n2)cc1,not-antibacterial
CC(NC(C)C(O)c1ccccc1)c1ccccc1.Cl,not-antibacterial
Clc1ccc(C=Cn2nnc(-c3ccccc3)n2)cc1,not-antibacterial
CC(C)CC(NC(=O)C(C)N)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccccc1)C(N)=O,not-antibacterial
CCCCCCCCn1nc(-n2cc(COc3cc(C(F)(F)F)nc(N)n3)nn2)c2ccc(C(F)(F)F)nc21,not-antibacterial
O=C1Nc2ccc(Cl)cc2C1=NN1C(=O)C(Cl)C1c1ccccc1Cl,not-antibacterial
COc1cc2c(=O)c3ccccc3oc2c(O)c1OC,not-antibacterial
CC(=O)c1cccc(NC2C(N)C(NC(=O)N3CCCCC3)(C(C)O)C(C)(O)C2(O)CO)c1,not-antibacterial
O=C1CSC(=NN=C2CCCCCCC2)N1Cc1ccc([N+](=O)[O-])cc1,not-antibacterial
Cc1cc(=O)oc2cc(OCCCCOc3ccc4c(C)cc(=O)oc4c3)ccc12,not-antibacterial
O=C(Nc1ncncn1)NC12CC3CC(CC(C3)C1)C2,not-antibacterial
COc1ccc(C(=O)C=Cc2ccc(C=O)cc2)cc1,not-antibacterial
CC1OC(OC2C(N)CC(N)C(OC3CC(CN)C(O)CC3N)C2O)C(O)C(O)C1O,not-antibacterial
CC(N)C(=O)N1CCCC1P(=O)(O)O,not-antibacterial
S=c1n(CN2CCCC2)nc(-c2cccc(Cl)c2)n1-c1ccc(Cl)cc1,not-antibacterial
COc1cc(O)c(C(=O)C=Cc2ccc(OCc3cn(-c4ccc(Cl)cc4)nn3)c(OC)c2)c(OC)c1,not-antibacterial
Nn1c(-c2ccc(-n3cccc3)cc2)n[nH]c1=S,not-antibacterial
CCCCCCCCCCCCCCCC(=O)N1C(CN)OC(C2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C1C(=O)O,not-antibacterial
CC(c1ccc2c(c1)Nc1ccccc1S2)N(O)C(=O)c1ccccc1-c1ccccc1C(=O)O,not-antibacterial
Cc1cn(-c2c(-c3cc(-c4ccc5c(c4)OC(C)(C)O5)nc(N)c3C#N)c(C)nn2-c2ccccc2)cn1,not-antibacterial
C=C(C)Cn1cc(C(=O)OCC)c(=O)c2ccc3c(nnn3C)c21,not-antibacterial
