Substructure,Frequency,Percentage1
cc(c)C(N)CNCC(=O)NC(CO)=CCS,1,25.0
CC(=CCS)NC(=O)CNCC(N)cccc,1,25.0
cccC(N)CNCC(=O)NC(C=O)=CCS,1,25.0
cccC(N)CNCC(=O)NC(CO)=CCS,1,25.0
ccC(N)CNCC(=O)NC(=CCS)C(=O)O,1,25.0
CC(=CCS)NC(=O)CNCCc(c)ccc,1,25.0
CC(=CCS)NC(=O)CNCCc(cc)cc,1,25.0
ccc(c)CCNCC(=O)NC(C=O)=CCS,1,25.0
ccc(c)CCNCC(=O)NC(CO)=CCS,1,25.0
cc(c)CCNCC(=O)NC(=CCS)C(=O)O,1,25.0
CC(=CCS)NC(=O)CNCCccccc,1,25.0
ccccCCNCC(=O)NC(C=O)=CCS,1,25.0
ccccCCNCC(=O)NC(CO)=CCS,1,25.0
cccCCNCC(=O)NC(=CCS)C(=O)O,1,25.0
CC(=CCS)NCCNC(=O)C(N)c(c)cc,1,25.0
cc(c)C(N)C(=O)NCCNC(C=O)=CCS,1,25.0
cc(c)C(N)C(=O)NCCNC(CO)=CCS,1,25.0
CC(=CCS)NCCNC(=O)C(N)cccc,1,25.0
cccC(N)C(=O)NCCNC(C=O)=CCS,1,25.0
cccC(N)C(=O)NCCNC(CO)=CCS,1,25.0
ccC(N)C(=O)NCCNC(=CCS)C(=O)O,1,25.0
CC(=CCS)NCCNC(=O)Cc(c)ccc,1,25.0
CC(=CCS)NCCNC(=O)Cc(cc)cc,1,25.0
ccc(c)CC(=O)NCCNC(C=O)=CCS,1,25.0
ccc(c)CC(=O)NCCNC(CO)=CCS,1,25.0
cc(c)CC(=O)NCCNC(=CCS)C(=O)O,1,25.0
CC(=CCS)NCCNC(=O)Cccccc,1,25.0
ccccCC(=O)NCCNC(C=O)=CCS,1,25.0
ccccCC(=O)NCCNC(CO)=CCS,1,25.0
cccCC(=O)NCCNC(=CCS)C(=O)O,1,25.0
CC(=CCS)NCCNCC(N)c(c)ccc,1,25.0
CC(=CCS)NCCNCC(N)c(cc)cc,1,25.0
ccc(c)C(N)CNCCNC(C=O)=CCS,1,25.0
ccc(c)C(N)CNCCNC(CO)=CCS,1,25.0
cc(c)C(N)CNCCNC(=CCS)C(=O)O,1,25.0
CC(=CCS)NCCNCC(N)ccccc,1,25.0
ccccC(N)CNCCNC(C=O)=CCS,1,25.0
ccccC(N)CNCCNC(CO)=CCS,1,25.0
cccC(N)CNCCNC(=CCS)C(=O)O,1,25.0
CC(=CCS)NCCNCCc1ccccc1,1,25.0
cccc(c)CCNCCNC(C=O)=CCS,1,25.0
cccc(c)CCNCCNC(CO)=CCS,1,25.0
ccc(cc)CCNCCNC(C=O)=CCS,1,25.0
ccc(cc)CCNCCNC(CO)=CCS,1,25.0
ccc(c)CCNCCNC(=CCS)C(=O)O,1,25.0
cccccCCNCCNC(C=O)=CCS,1,25.0
cccccCCNCCNC(CO)=CCS,1,25.0
ccccCCNCCNC(=CCS)C(=O)O,1,25.0
cc(c)C(N)C(=O)NC1C(=O)N2C=CCSC12,1,25.0
cccC(N)C(=O)NC1C(=O)N2C=CCSC12,1,25.0
ccc(c)CC(=O)NC1C(=O)N2C=CCSC12,1,25.0
ccccCC(=O)NC1C(=O)N2C=CCSC12,1,25.0
ccc(c)C(N)CNC1C(=O)N2C=CCSC12,1,25.0
ccccC(N)CNC1C(=O)N2C=CCSC12,1,25.0
cccc(c)CCNC1C(=O)N2C=CCSC12,1,25.0
ccc(cc)CCNC1C(=O)N2C=CCSC12,1,25.0
cccccCCNC1C(=O)N2C=CCSC12,1,25.0
ccc(c)C(N)C(=O)NC1CN2C=CCSC12,1,25.0
ccccC(N)C(=O)NC1CN2C=CCSC12,1,25.0
cccc(c)CC(=O)NC1CN2C=CCSC12,1,25.0
ccc(cc)CC(=O)NC1CN2C=CCSC12,1,25.0
cccccCC(=O)NC1CN2C=CCSC12,1,25.0
cccc(c)C(N)CNC1CN2C=CCSC12,1,25.0
ccc(cc)C(N)CNC1CN2C=CCSC12,1,25.0
cccccC(N)CNC1CN2C=CCSC12,1,25.0
C(Cc1ccccc1)NC1CN2C=CCSC12,1,25.0
cccc(c)C(N)C(=O)NCC1NC=CCS1,1,25.0
ccc(cc)C(N)C(=O)NCC1NC=CCS1,1,25.0
cccccC(N)C(=O)NCC1NC=CCS1,1,25.0
O=C(Cc1ccccc1)NCC1NC=CCS1,1,25.0
NC(CNCC1NC=CCS1)c1ccccc1,1,25.0
ccc(c)C(N)C(=O)NCC(=O)NC=CCS,1,25.0
ccccC(N)C(=O)NCC(=O)NC=CCS,1,25.0
cccc(c)CC(=O)NCC(=O)NC=CCS,1,25.0
ccc(cc)CC(=O)NCC(=O)NC=CCS,1,25.0
cccccCC(=O)NCC(=O)NC=CCS,1,25.0
cccc(c)C(N)CNCC(=O)NC=CCS,1,25.0
ccc(cc)C(N)CNCC(=O)NC=CCS,1,25.0
cccccC(N)CNCC(=O)NC=CCS,1,25.0
O=C(CNCCc1ccccc1)NC=CCS,1,25.0
cccc(c)C(N)C(=O)NCCNC=CCS,1,25.0
ccc(cc)C(N)C(=O)NCCNC=CCS,1,25.0
cccccC(N)C(=O)NCCNC=CCS,1,25.0
O=C(Cc1ccccc1)NCCNC=CCS,1,25.0
NC(CNCCNC=CCS)c1ccccc1,1,25.0
CC=CCSCC(C=O)NC(=O)C(N)c(c)c,1,25.0
CC=CCSCC(C=O)NC(=O)C(N)ccc,1,25.0
ccC(N)C(=O)NC(C=O)CSCC=CC=O,1,25.0
ccC(N)C(=O)NC(C=O)CSCC=CCO,1,25.0
cC(N)C(=O)NC(C=O)CSCC=CC(=O)O,1,25.0
CC=CCSCC(C=O)NC(=O)Cc(c)cc,1,25.0
cc(c)CC(=O)NC(C=O)CSCC=CC=O,1,25.0
cc(c)CC(=O)NC(C=O)CSCC=CCO,1,25.0
CC=CCSCC(C=O)NC(=O)Ccccc,1,25.0
cccCC(=O)NC(C=O)CSCC=CC=O,1,25.0
cccCC(=O)NC(C=O)CSCC=CCO,1,25.0
ccCC(=O)NC(C=O)CSCC=CC(=O)O,1,25.0
CC=CCSCC(C=O)NCC(N)c(c)cc,1,25.0
cc(c)C(N)CNC(C=O)CSCC=CC=O,1,25.0
cc(c)C(N)CNC(C=O)CSCC=CCO,1,25.0
CC=CCSCC(C=O)NCC(N)cccc,1,25.0
cccC(N)CNC(C=O)CSCC=CC=O,1,25.0
cccC(N)CNC(C=O)CSCC=CCO,1,25.0
ccC(N)CNC(C=O)CSCC=CC(=O)O,1,25.0
CC=CCSCC(C=O)NCCc(c)ccc,1,25.0
CC=CCSCC(C=O)NCCc(cc)cc,1,25.0
ccc(c)CCNC(C=O)CSCC=CC=O,1,25.0
ccc(c)CCNC(C=O)CSCC=CCO,1,25.0
cc(c)CCNC(C=O)CSCC=CC(=O)O,1,25.0
CC=CCSCC(C=O)NCCccccc,1,25.0
ccccCCNC(C=O)CSCC=CC=O,1,25.0
ccccCCNC(C=O)CSCC=CCO,1,25.0
cccCCNC(C=O)CSCC=CC(=O)O,1,25.0
CC=CCSCC(C)NC(=O)C(N)c(c)cc,1,25.0
CC(CSCC=CC=O)NC(=O)C(N)c(c)c,1,25.0
CC(CSCC=CCO)NC(=O)C(N)c(c)c,1,25.0
CC=CCSCC(C)NC(=O)C(N)cccc,1,25.0
CC(CSCC=CC=O)NC(=O)C(N)ccc,1,25.0
CC(CSCC=CCO)NC(=O)C(N)ccc,1,25.0
CC(CSCC=CC(=O)O)NC(=O)C(N)cc,1,25.0
CC=CCSCC(C)NC(=O)Cc(c)ccc,1,25.0
CC=CCSCC(C)NC(=O)Cc(cc)cc,1,25.0
CC(CSCC=CC=O)NC(=O)Cc(c)cc,1,25.0
CC(CSCC=CCO)NC(=O)Cc(c)cc,1,25.0
CC(CSCC=CC(=O)O)NC(=O)Cc(c)c,1,25.0
CC=CCSCC(C)NC(=O)Cccccc,1,25.0
CC(CSCC=CC=O)NC(=O)Ccccc,1,25.0
CC(CSCC=CCO)NC(=O)Ccccc,1,25.0
CC(CSCC=CC(=O)O)NC(=O)Cccc,1,25.0
CC=CCSCC(C)NCC(N)c(c)ccc,1,25.0
CC=CCSCC(C)NCC(N)c(cc)cc,1,25.0
CC(CSCC=CC=O)NCC(N)c(c)cc,1,25.0
CC(CSCC=CCO)NCC(N)c(c)cc,1,25.0
CC(CSCC=CC(=O)O)NCC(N)c(c)c,1,25.0
CC=CCSCC(C)NCC(N)ccccc,1,25.0
CC(CSCC=CC=O)NCC(N)cccc,1,25.0
CC(CSCC=CCO)NCC(N)cccc,1,25.0
CC(CSCC=CC(=O)O)NCC(N)ccc,1,25.0
CC=CCSCC(C)NCCc1ccccc1,1,25.0
CC(CSCC=CC=O)NCCc(c)ccc,1,25.0
CC(CSCC=CCO)NCCc(c)ccc,1,25.0
CC(CSCC=CC=O)NCCc(cc)cc,1,25.0
CC(CSCC=CCO)NCCc(cc)cc,1,25.0
CC(CSCC=CC(=O)O)NCCc(c)cc,1,25.0
CC(CSCC=CC=O)NCCccccc,1,25.0
CC(CSCC=CCO)NCCccccc,1,25.0
CC(CSCC=CC(=O)O)NCCcccc,1,25.0
CC=CCSCCNC(=O)C(N)c(c)ccc,1,25.0
CC=CCSCCNC(=O)C(N)c(cc)cc,1,25.0
ccc(c)C(N)C(=O)NCCSCC=CC=O,1,25.0
ccc(c)C(N)C(=O)NCCSCC=CCO,1,25.0
cc(c)C(N)C(=O)NCCSCC=CC(=O)O,1,25.0
CC=CCSCCNC(=O)C(N)ccccc,1,25.0
ccccC(N)C(=O)NCCSCC=CC=O,1,25.0
ccccC(N)C(=O)NCCSCC=CCO,1,25.0
cccC(N)C(=O)NCCSCC=CC(=O)O,1,25.0
CC=CCSCCNC(=O)Cc1ccccc1,1,25.0
cccc(c)CC(=O)NCCSCC=CC=O,1,25.0
cccc(c)CC(=O)NCCSCC=CCO,1,25.0
ccc(cc)CC(=O)NCCSCC=CC=O,1,25.0
ccc(cc)CC(=O)NCCSCC=CCO,1,25.0
ccc(c)CC(=O)NCCSCC=CC(=O)O,1,25.0
cccccCC(=O)NCCSCC=CC=O,1,25.0
cccccCC(=O)NCCSCC=CCO,1,25.0
ccccCC(=O)NCCSCC=CC(=O)O,1,25.0
CC=CCSCCNCC(N)c1ccccc1,1,25.0
cccc(c)C(N)CNCCSCC=CC=O,1,25.0
cccc(c)C(N)CNCCSCC=CCO,1,25.0
ccc(cc)C(N)CNCCSCC=CC=O,1,25.0
ccc(cc)C(N)CNCCSCC=CCO,1,25.0
ccc(c)C(N)CNCCSCC=CC(=O)O,1,25.0
cccccC(N)CNCCSCC=CC=O,1,25.0
cccccC(N)CNCCSCC=CCO,1,25.0
ccccC(N)CNCCSCC=CC(=O)O,1,25.0
O=CC=CCSCCNCCc1ccccc1,1,25.0
OCC=CCSCCNCCc1ccccc1,1,25.0
cccc(c)CCNCCSCC=CC(=O)O,1,25.0
ccc(cc)CCNCCSCC=CC(=O)O,1,25.0
cccccCCNCCSCC=CC(=O)O,1,25.0
C=CCSCC(C=O)NC(=O)C(N)c(c)cc,1,25.0
C=CCSCC(C=O)NC(=O)C(N)cccc,1,25.0
C=CCSCC(C=O)NC(=O)Cc(c)ccc,1,25.0
C=CCSCC(C=O)NC(=O)Cc(cc)cc,1,25.0
C=CCSCC(C=O)NC(=O)Cccccc,1,25.0
C=CCSCC(C=O)NCC(N)c(c)ccc,1,25.0
C=CCSCC(C=O)NCC(N)c(cc)cc,1,25.0
C=CCSCC(C=O)NCC(N)ccccc,1,25.0
C=CCSCC(C=O)NCCc1ccccc1,1,25.0
CC(CSCC=C)NC(=O)C(N)c(c)ccc,1,25.0
CC(CSCC=C)NC(=O)C(N)c(cc)cc,1,25.0
CC(CSCC=C)NC(=O)C(N)ccccc,1,25.0
CC(CSCC=C)NC(=O)Cc1ccccc1,1,25.0
CC(CSCC=C)NCC(N)c1ccccc1,1,25.0
C=CCSCCNC(=O)C(N)c1ccccc1,1,25.0
CC(=C)N1C(=O)C(NC(=O)C(N)c(c)c)C1S,1,25.0
CC(=C)N1C(=O)C(NC(=O)C(N)ccc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NC(=O)C(N)cc)C1S,1,25.0
C=C(CO)N1C(=O)C(NC(=O)C(N)cc)C1S,1,25.0
cC(N)C(=O)NC1C(=O)N(C(=C)C(=O)O)C1S,1,25.0
CC(=C)N1C(=O)C(NC(=O)Cc(c)cc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NC(=O)Cc(c)c)C1S,1,25.0
C=C(CO)N1C(=O)C(NC(=O)Cc(c)c)C1S,1,25.0
CC(=C)N1C(=O)C(NC(=O)Ccccc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NC(=O)Cccc)C1S,1,25.0
C=C(CO)N1C(=O)C(NC(=O)Cccc)C1S,1,25.0
C=C(C(=O)O)N1C(=O)C(NC(=O)Ccc)C1S,1,25.0
CC(=C)N1C(=O)C(NCC(N)c(c)cc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NCC(N)c(c)c)C1S,1,25.0
C=C(CO)N1C(=O)C(NCC(N)c(c)c)C1S,1,25.0
CC(=C)N1C(=O)C(NCC(N)cccc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NCC(N)ccc)C1S,1,25.0
C=C(CO)N1C(=O)C(NCC(N)ccc)C1S,1,25.0
C=C(C(=O)O)N1C(=O)C(NCC(N)cc)C1S,1,25.0
CC(=C)N1C(=O)C(NCCc(c)ccc)C1S,1,25.0
CC(=C)N1C(=O)C(NCCc(cc)cc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NCCc(c)cc)C1S,1,25.0
C=C(CO)N1C(=O)C(NCCc(c)cc)C1S,1,25.0
C=C(C(=O)O)N1C(=O)C(NCCc(c)c)C1S,1,25.0
CC(=C)N1C(=O)C(NCCccccc)C1S,1,25.0
C=C(C=O)N1C(=O)C(NCCcccc)C1S,1,25.0
C=C(CO)N1C(=O)C(NCCcccc)C1S,1,25.0
C=C(C(=O)O)N1C(=O)C(NCCccc)C1S,1,25.0
CC(=C)N1CC(NC(=O)C(N)c(c)cc)C1S,1,25.0
C=C(C=O)N1CC(NC(=O)C(N)c(c)c)C1S,1,25.0
C=C(CO)N1CC(NC(=O)C(N)c(c)c)C1S,1,25.0
CC(=C)N1CC(NC(=O)C(N)cccc)C1S,1,25.0
C=C(C=O)N1CC(NC(=O)C(N)ccc)C1S,1,25.0
C=C(CO)N1CC(NC(=O)C(N)ccc)C1S,1,25.0
C=C(C(=O)O)N1CC(NC(=O)C(N)cc)C1S,1,25.0
CC(=C)N1CC(NC(=O)Cc(c)ccc)C1S,1,25.0
CC(=C)N1CC(NC(=O)Cc(cc)cc)C1S,1,25.0
C=C(C=O)N1CC(NC(=O)Cc(c)cc)C1S,1,25.0
C=C(CO)N1CC(NC(=O)Cc(c)cc)C1S,1,25.0
C=C(C(=O)O)N1CC(NC(=O)Cc(c)c)C1S,1,25.0
CC(=C)N1CC(NC(=O)Cccccc)C1S,1,25.0
C=C(C=O)N1CC(NC(=O)Ccccc)C1S,1,25.0
C=C(CO)N1CC(NC(=O)Ccccc)C1S,1,25.0
C=C(C(=O)O)N1CC(NC(=O)Cccc)C1S,1,25.0
CC(=C)N1CC(NCC(N)c(c)ccc)C1S,1,25.0
CC(=C)N1CC(NCC(N)c(cc)cc)C1S,1,25.0
C=C(C=O)N1CC(NCC(N)c(c)cc)C1S,1,25.0
C=C(CO)N1CC(NCC(N)c(c)cc)C1S,1,25.0
C=C(C(=O)O)N1CC(NCC(N)c(c)c)C1S,1,25.0
CC(=C)N1CC(NCC(N)ccccc)C1S,1,25.0
C=C(C=O)N1CC(NCC(N)cccc)C1S,1,25.0
C=C(CO)N1CC(NCC(N)cccc)C1S,1,25.0
C=C(C(=O)O)N1CC(NCC(N)ccc)C1S,1,25.0
CC(=C)N1CC(NCCc2ccccc2)C1S,1,25.0
C=C(C=O)N1CC(NCCc(c)ccc)C1S,1,25.0
C=C(CO)N1CC(NCCc(c)ccc)C1S,1,25.0
C=C(C=O)N1CC(NCCc(cc)cc)C1S,1,25.0
C=C(CO)N1CC(NCCc(cc)cc)C1S,1,25.0
C=C(C(=O)O)N1CC(NCCc(c)cc)C1S,1,25.0
C=C(C=O)N1CC(NCCccccc)C1S,1,25.0
C=C(CO)N1CC(NCCccccc)C1S,1,25.0
C=C(C(=O)O)N1CC(NCCcccc)C1S,1,25.0
CC(=C)N1CC(NC(=O)C(N)c(c)cc)C1=O,1,25.0
C=C(C=O)N1CC(NC(=O)C(N)c(c)c)C1=O,1,25.0
C=C(CO)N1CC(NC(=O)C(N)c(c)c)C1=O,1,25.0
CC(=C)N1CC(NC(=O)C(N)cccc)C1=O,1,25.0
C=C(C=O)N1CC(NC(=O)C(N)ccc)C1=O,1,25.0
C=C(CO)N1CC(NC(=O)C(N)ccc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NC(=O)C(N)cc)C1=O,1,25.0
CC(=C)N1CC(NC(=O)Cc(c)ccc)C1=O,1,25.0
CC(=C)N1CC(NC(=O)Cc(cc)cc)C1=O,1,25.0
C=C(C=O)N1CC(NC(=O)Cc(c)cc)C1=O,1,25.0
C=C(CO)N1CC(NC(=O)Cc(c)cc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NC(=O)Cc(c)c)C1=O,1,25.0
CC(=C)N1CC(NC(=O)Cccccc)C1=O,1,25.0
C=C(C=O)N1CC(NC(=O)Ccccc)C1=O,1,25.0
C=C(CO)N1CC(NC(=O)Ccccc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NC(=O)Cccc)C1=O,1,25.0
CC(=C)N1CC(NCC(N)c(c)ccc)C1=O,1,25.0
CC(=C)N1CC(NCC(N)c(cc)cc)C1=O,1,25.0
C=C(C=O)N1CC(NCC(N)c(c)cc)C1=O,1,25.0
C=C(CO)N1CC(NCC(N)c(c)cc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NCC(N)c(c)c)C1=O,1,25.0
CC(=C)N1CC(NCC(N)ccccc)C1=O,1,25.0
C=C(C=O)N1CC(NCC(N)cccc)C1=O,1,25.0
C=C(CO)N1CC(NCC(N)cccc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NCC(N)ccc)C1=O,1,25.0
CC(=C)N1CC(NCCc2ccccc2)C1=O,1,25.0
C=C(C=O)N1CC(NCCc(c)ccc)C1=O,1,25.0
C=C(CO)N1CC(NCCc(c)ccc)C1=O,1,25.0
C=C(C=O)N1CC(NCCc(cc)cc)C1=O,1,25.0
C=C(CO)N1CC(NCCc(cc)cc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NCCc(c)cc)C1=O,1,25.0
C=C(C=O)N1CC(NCCccccc)C1=O,1,25.0
C=C(CO)N1CC(NCCccccc)C1=O,1,25.0
C=C(C(=O)O)N1CC(NCCcccc)C1=O,1,25.0
CC(=C)N1CC(NC(=O)C(N)c(c)ccc)C1,1,25.0
CC(=C)N1CC(NC(=O)C(N)c(cc)cc)C1,1,25.0
C=C(C=O)N1CC(NC(=O)C(N)c(c)cc)C1,1,25.0
C=C(CO)N1CC(NC(=O)C(N)c(c)cc)C1,1,25.0
C=C(C(=O)O)N1CC(NC(=O)C(N)c(c)c)C1,1,25.0
CC(=C)N1CC(NC(=O)C(N)ccccc)C1,1,25.0
C=C(C=O)N1CC(NC(=O)C(N)cccc)C1,1,25.0
C=C(CO)N1CC(NC(=O)C(N)cccc)C1,1,25.0
C=C(C(=O)O)N1CC(NC(=O)C(N)ccc)C1,1,25.0
CC(=C)N1CC(NC(=O)Cc2ccccc2)C1,1,25.0
C=C(C=O)N1CC(NC(=O)Cc(c)ccc)C1,1,25.0
C=C(CO)N1CC(NC(=O)Cc(c)ccc)C1,1,25.0
C=C(C=O)N1CC(NC(=O)Cc(cc)cc)C1,1,25.0
C=C(CO)N1CC(NC(=O)Cc(cc)cc)C1,1,25.0
C=C(C(=O)O)N1CC(NC(=O)Cc(c)cc)C1,1,25.0
C=C(C=O)N1CC(NC(=O)Cccccc)C1,1,25.0
C=C(CO)N1CC(NC(=O)Cccccc)C1,1,25.0
C=C(C(=O)O)N1CC(NC(=O)Ccccc)C1,1,25.0
CC(=C)N1CC(NCC(N)c2ccccc2)C1,1,25.0
C=C(C=O)N1CC(NCC(N)c(c)ccc)C1,1,25.0
C=C(CO)N1CC(NCC(N)c(c)ccc)C1,1,25.0
C=C(C=O)N1CC(NCC(N)c(cc)cc)C1,1,25.0
C=C(CO)N1CC(NCC(N)c(cc)cc)C1,1,25.0
C=C(C(=O)O)N1CC(NCC(N)c(c)cc)C1,1,25.0
C=C(C=O)N1CC(NCC(N)ccccc)C1,1,25.0
C=C(CO)N1CC(NCC(N)ccccc)C1,1,25.0
C=C(C(=O)O)N1CC(NCC(N)cccc)C1,1,25.0
C=C(C=O)N1CC(NCCc2ccccc2)C1,1,25.0
C=C(CO)N1CC(NCCc2ccccc2)C1,1,25.0
C=C(C(=O)O)N1CC(NCCc(c)ccc)C1,1,25.0
C=C(C(=O)O)N1CC(NCCc(cc)cc)C1,1,25.0
C=C(C(=O)O)N1CC(NCCccccc)C1,1,25.0
CC(=C)NC(S)CNC(=O)C(N)c(c)ccc,1,25.0
CC(=C)NC(S)CNC(=O)C(N)c(cc)cc,1,25.0
C=C(C=O)NC(S)CNC(=O)C(N)c(c)cc,1,25.0
C=C(CO)NC(S)CNC(=O)C(N)c(c)cc,1,25.0
C=C(NC(S)CNC(=O)C(N)c(c)c)C(=O)O,1,25.0
CC(=C)NC(S)CNC(=O)C(N)ccccc,1,25.0
C=C(C=O)NC(S)CNC(=O)C(N)cccc,1,25.0
C=C(CO)NC(S)CNC(=O)C(N)cccc,1,25.0
C=C(NC(S)CNC(=O)C(N)ccc)C(=O)O,1,25.0
CC(=C)NC(S)CNC(=O)Cc1ccccc1,1,25.0
C=C(C=O)NC(S)CNC(=O)Cc(c)ccc,1,25.0
C=C(CO)NC(S)CNC(=O)Cc(c)ccc,1,25.0
C=C(C=O)NC(S)CNC(=O)Cc(cc)cc,1,25.0
C=C(CO)NC(S)CNC(=O)Cc(cc)cc,1,25.0
C=C(NC(S)CNC(=O)Cc(c)cc)C(=O)O,1,25.0
C=C(C=O)NC(S)CNC(=O)Cccccc,1,25.0
C=C(CO)NC(S)CNC(=O)Cccccc,1,25.0
C=C(NC(S)CNC(=O)Ccccc)C(=O)O,1,25.0
CC(=C)NC(S)CNCC(N)c1ccccc1,1,25.0
C=C(C=O)NC(S)CNCC(N)c(c)ccc,1,25.0
C=C(CO)NC(S)CNCC(N)c(c)ccc,1,25.0
C=C(C=O)NC(S)CNCC(N)c(cc)cc,1,25.0
C=C(CO)NC(S)CNCC(N)c(cc)cc,1,25.0
C=C(NC(S)CNCC(N)c(c)cc)C(=O)O,1,25.0
C=C(C=O)NC(S)CNCC(N)ccccc,1,25.0
C=C(CO)NC(S)CNCC(N)ccccc,1,25.0
C=C(NC(S)CNCC(N)cccc)C(=O)O,1,25.0
C=C(C=O)NC(S)CNCCc1ccccc1,1,25.0
C=C(CO)NC(S)CNCCc1ccccc1,1,25.0
C=C(NC(S)CNCCc(c)ccc)C(=O)O,1,25.0
C=C(NC(S)CNCCc(cc)cc)C(=O)O,1,25.0
C=C(NC(S)CNCCccccc)C(=O)O,1,25.0
CC(=C)NCCNC(=O)C(N)c1ccccc1,1,25.0
C=C(C=O)NCCNC(=O)C(N)c(c)ccc,1,25.0
C=C(CO)NCCNC(=O)C(N)c(c)ccc,1,25.0
C=C(C=O)NCCNC(=O)C(N)c(cc)cc,1,25.0
C=C(CO)NCCNC(=O)C(N)c(cc)cc,1,25.0
C=C(NCCNC(=O)C(N)c(c)cc)C(=O)O,1,25.0
C=C(C=O)NCCNC(=O)C(N)ccccc,1,25.0
C=C(CO)NCCNC(=O)C(N)ccccc,1,25.0
C=C(NCCNC(=O)C(N)cccc)C(=O)O,1,25.0
C=C(C=O)NCCNC(=O)Cc1ccccc1,1,25.0
C=C(CO)NCCNC(=O)Cc1ccccc1,1,25.0
C=C(NCCNC(=O)Cc(c)ccc)C(=O)O,1,25.0
C=C(NCCNC(=O)Cc(cc)cc)C(=O)O,1,25.0
C=C(NCCNC(=O)Cccccc)C(=O)O,1,25.0
C=C(C=O)NCCNCC(N)c1ccccc1,1,25.0
C=C(CO)NCCNCC(N)c1ccccc1,1,25.0
C=C(NCCNCC(N)c(c)ccc)C(=O)O,1,25.0
C=C(NCCNCC(N)c(cc)cc)C(=O)O,1,25.0
C=C(NCCNCC(N)ccccc)C(=O)O,1,25.0
C=C(NCCNCCc1ccccc1)C(=O)O,1,25.0
CC(=C)NC(=O)CNC(=O)C(N)c(c)ccc,1,25.0
CC(=C)NC(=O)CNC(=O)C(N)c(cc)cc,1,25.0
C=C(C=O)NC(=O)CNC(=O)C(N)c(c)cc,1,25.0
C=C(CO)NC(=O)CNC(=O)C(N)c(c)cc,1,25.0
C=C(NC(=O)CNC(=O)C(N)c(c)c)C(=O)O,1,25.0
CC(=C)NC(=O)CNC(=O)C(N)ccccc,1,25.0
C=C(C=O)NC(=O)CNC(=O)C(N)cccc,1,25.0
C=C(CO)NC(=O)CNC(=O)C(N)cccc,1,25.0
C=C(NC(=O)CNC(=O)C(N)ccc)C(=O)O,1,25.0
CC(=C)NC(=O)CNC(=O)Cc1ccccc1,1,25.0
C=C(C=O)NC(=O)CNC(=O)Cc(c)ccc,1,25.0
C=C(CO)NC(=O)CNC(=O)Cc(c)ccc,1,25.0
C=C(C=O)NC(=O)CNC(=O)Cc(cc)cc,1,25.0
C=C(CO)NC(=O)CNC(=O)Cc(cc)cc,1,25.0
C=C(NC(=O)CNC(=O)Cc(c)cc)C(=O)O,1,25.0
C=C(C=O)NC(=O)CNC(=O)Cccccc,1,25.0
C=C(CO)NC(=O)CNC(=O)Cccccc,1,25.0
C=C(NC(=O)CNC(=O)Ccccc)C(=O)O,1,25.0
CC(=C)NC(=O)CNCC(N)c1ccccc1,1,25.0
C=C(C=O)NC(=O)CNCC(N)c(c)ccc,1,25.0
C=C(CO)NC(=O)CNCC(N)c(c)ccc,1,25.0
C=C(C=O)NC(=O)CNCC(N)c(cc)cc,1,25.0
C=C(CO)NC(=O)CNCC(N)c(cc)cc,1,25.0
C=C(NC(=O)CNCC(N)c(c)cc)C(=O)O,1,25.0
C=C(C=O)NC(=O)CNCC(N)ccccc,1,25.0
C=C(CO)NC(=O)CNCC(N)ccccc,1,25.0
C=C(NC(=O)CNCC(N)cccc)C(=O)O,1,25.0
C=C(C=O)NC(=O)CNCCc1ccccc1,1,25.0
C=C(CO)NC(=O)CNCCc1ccccc1,1,25.0
C=C(NC(=O)CNCCc(c)ccc)C(=O)O,1,25.0
C=C(NC(=O)CNCCc(cc)cc)C(=O)O,1,25.0
C=C(NC(=O)CNCCccccc)C(=O)O,1,25.0
C=CN1C(=O)C(NC(=O)C(N)c(c)cc)C1S,1,25.0
C=CN1C(=O)C(NC(=O)C(N)cccc)C1S,1,25.0
C=CN1C(=O)C(NC(=O)Cc(c)ccc)C1S,1,25.0
C=CN1C(=O)C(NC(=O)Cc(cc)cc)C1S,1,25.0
C=CN1C(=O)C(NC(=O)Cccccc)C1S,1,25.0
C=CN1C(=O)C(NCC(N)c(c)ccc)C1S,1,25.0
C=CN1C(=O)C(NCC(N)c(cc)cc)C1S,1,25.0
C=CN1C(=O)C(NCC(N)ccccc)C1S,1,25.0
C=CN1C(=O)C(NCCc2ccccc2)C1S,1,25.0
C=CN1CC(NC(=O)C(N)c(c)ccc)C1S,1,25.0
C=CN1CC(NC(=O)C(N)c(cc)cc)C1S,1,25.0
C=CN1CC(NC(=O)C(N)ccccc)C1S,1,25.0
