Substructure,Frequency1,OccurrenceList1
CCC(NC(C)=O)C(=O)O,2,"1,0,1,0"
CCC(C(=O)O)N(C)C=O,2,"1,0,1,0"
CCCNCCN,2,"1,0,1,0"
CCNC(CC)C(=O)O,2,"1,0,1,0"
NCC1NCCS1,2,"1,0,1,0"
O=C1CC2SCCN12,2,"1,0,1,0"
CC1NC(C(=O)O)CS1,2,"1,0,1,0"
NCCSCCC(=O)O,2,"1,0,1,0"
O=CCCSCCC(=O)O,2,"1,0,1,0"
O=CN1CSCC1C(=O)O,2,"1,0,1,0"
NCC(=O)NCCS,3,"1,1,1,0"
CC(=O)NC(CS)C(=O)O,2,"1,0,1,0"
CSC1NC(=O)C1N,3,"1,1,1,0"
CSC(N)CNC=O,3,"1,1,1,0"
CSCC(C=O)NC=O,3,"1,1,1,0"
CSCCNC(C)=O,3,"1,1,1,0"
CCN1CC(N)C1=O,2,"1,0,1,0"
CC(C(=O)O)N1CCC1=O,2,"1,0,1,0"
CCNC(=O)CNC=O,2,"1,0,1,0"
CC(NC(=O)CN)C(=O)O,2,"1,0,1,0"
CCNCCNC=O,2,"1,0,1,0"
CC(NCCN)C(=O)O,2,"1,0,1,0"
O=CNC1C(=O)NC1S,3,"1,1,1,0"
CN1C(=O)C(N)C1S,3,"1,1,1,0"
CC(=O)NCC(N)S,3,"1,1,1,0"
CNC(S)CNC=O,3,"1,1,1,0"
NCC(S)NCC(=O)O,3,"1,1,1,0"
O=C(O)CN1C(=O)CC1S,3,"1,1,1,0"
CC(=O)NC(C=O)CS,3,"1,1,1,0"
cCC(=O)NCCS,3,"1,1,1,0"
CC(=O)NC1CNC1=O,3,"1,1,1,0"
CN1CC(NC=O)C1=O,3,"1,1,1,0"
NC1CN(CC(=O)O)C1=O,3,"1,1,1,0"
NCCNC(=O)CN,2,"1,1,0,0"
cCC(=O)NCCN,3,"1,1,1,0"
CNCCNC(C)=O,3,"1,1,1,0"
O=CNCCNCC(=O)O,3,"1,1,1,0"
CC(C=O)NC(=O)CN,2,"1,1,0,0"
cCC(=O)NC(C)C=O,3,"1,1,1,0"
cC(N)C(=O)NCC,2,"1,1,0,0"
ccCC(=O)NCC,3,"1,1,1,0"
cC(N)C(=O)NCC=O,2,"1,1,0,0"
NCC(=O)NCC(N)=O,2,"1,1,0,0"
ccCC(=O)NCC=O,3,"1,1,1,0"
cCC(=O)NCC(N)=O,3,"1,1,1,0"
CNC(=O)CNC(C)=O,3,"1,1,1,0"
O=CNCC(=O)NCC(=O)O,3,"1,1,1,0"
ccC(N)C(=O)NC,2,"1,1,0,0"
cc(c)CC(=O)NC,3,"1,1,1,0"
cccCC(=O)NC,3,"1,1,1,0"
cc(c)C(N)C(N)=O,2,"1,1,0,0"
cccC(N)C(N)=O,2,"1,1,0,0"
ccc(c)CC(N)=O,3,"1,1,1,0"
NC(=O)CccccO,1,"1,0,0,0"
ccc(c)C(N)C=O,2,"1,1,0,0"
NC(C=O)ccccO,1,"1,0,0,0"
cc(cccO)CC=O,1,"1,0,0,0"
ccc(cc)CC=O,3,"1,1,1,0"
cc(O)cccCC=O,1,"1,0,0,0"
cc(cccO)CN,1,"1,0,0,0"
ccc(cc)CN,2,"1,1,0,0"
cc(O)cccCN,1,"1,0,0,0"
Cc1ccc(O)cc1,1,"1,0,0,0"
CC1NCC(C)(C)S1,2,"1,0,1,0"
CC(C)(C)SCCN,2,"1,0,1,0"
CC(C)(C)SCCC=O,2,"1,0,1,0"
CCSC(C)(C)CC(=O)O,2,"1,0,1,0"
CC1(C)CN(C=O)CS1,2,"1,0,1,0"
CC1(C)SCNC1C(=O)O,2,"1,0,1,0"
CC(=O)NCC(C)(C)S,2,"1,0,1,0"
CC(C)(S)C(NC=O)C(=O)O,2,"1,0,1,0"
CC(C)SC(N)CN,2,"1,0,1,0"
CC(C)SC1CC(=O)N1,2,"1,0,1,0"
CC(C)SCC(N)C=O,2,"1,0,1,0"
CC(C)SCCNC=O,2,"1,0,1,0"
CC(C)CN1CCC1=O,2,"1,0,1,0"
CC(C)CNC(=O)CN,2,"1,0,1,0"
