Substructure,Frequency,Percentage0
Cc(c)c(O)ccN,1,20.0
ccc(O)c(c)C=O,1,20.0
ccc(O)c(c)CO,1,20.0
cc(O)c(c)C(=O)O,1,20.0
Nccc(O)cC=O,1,20.0
Nccc(O)cCO,1,20.0
ccc(O)cC(=O)O,1,20.0
Cc1ccc(N)cc1O,1,20.0
O=Cc1ccccc1O,1,20.0
OCc1ccccc1O,1,20.0
Nc1ccc(C=O)cc1,1,20.0
Nc1ccc(CO)cc1,1,20.0
O=C(O)c1ccccc1,1,20.0
Ncccc(C=O)cO,1,20.0
Ncccc(CO)cO,1,20.0
cccc(cO)C(=O)O,1,20.0
cc(cccN)C(=O)O,1,20.0
cc(N)cccC(=O)O,1,20.0
ccc(C(=O)O)c(c)O,1,20.0
cc(N)cc(O)cC=O,1,20.0
cc(N)cc(O)cCO,1,20.0
cccc(O)cC(=O)O,1,20.0
cc(C=O)c(O)ccN,1,20.0
cc(CO)c(O)ccN,1,20.0
ccc(O)c(c)C(=O)O,1,20.0
Nccc(O)cC(=O)O,1,20.0
Nc1ccc(C=O)c(O)c1,1,20.0
Nc1ccc(CO)c(O)c1,1,20.0
O=C(O)c1ccccc1O,1,20.0
Nc1ccc(C(=O)O)cc1,1,20.0
Ncccc(cO)C(=O)O,1,20.0
cc(N)cc(O)cC(=O)O,1,20.0
cc(C(=O)O)c(O)ccN,1,20.0
Nc1ccc(C(=O)O)c(O)c1,1,20.0
ccC,1,20.0
cCC,1,20.0
cccC,1,20.0
cc(c)C,1,20.0
ccCC,1,20.0
cCCC,1,20.0
ccccC,1,20.0
ccc(c)C,1,20.0
cccCC,1,20.0
cc(c)CC,1,20.0
CCCcc,1,20.0
cCCC=O,1,20.0
cCCCO,1,20.0
cccccC,1,20.0
cccc(c)C,1,20.0
ccccCC,1,20.0
ccc(C)cc,1,20.0
ccc(c)CC,1,20.0
CCCccc,1,20.0
CCCc(c)c,1,20.0
ccCCC=O,1,20.0
ccCCCO,1,20.0
cCCC(=O)O,1,20.0
cccccCC,1,20.0
cccc(c)CC,1,20.0
CCCcccc,1,20.0
ccc(cc)CC,1,20.0
CCCc(c)cc,1,20.0
cccCCC=O,1,20.0
cccCCCO,1,20.0
cc(c)CCC=O,1,20.0
cc(c)CCCO,1,20.0
ccCCC(=O)O,1,20.0
CCc1ccccc1,1,20.0
CCCccccc,1,20.0
CCCc(c)ccc,1,20.0
ccccCCC=O,1,20.0
ccccCCCO,1,20.0
CCCc(cc)cc,1,20.0
ccc(c)CCC=O,1,20.0
ccc(c)CCCO,1,20.0
cccCCC(=O)O,1,20.0
cc(c)CCC(=O)O,1,20.0
CCCc1ccccc1,1,20.0
cccccCCC=O,1,20.0
cccccCCCO,1,20.0
cccc(c)CCC=O,1,20.0
cccc(c)CCCO,1,20.0
ccccCCC(=O)O,1,20.0
ccc(cc)CCC=O,1,20.0
ccc(cc)CCCO,1,20.0
ccc(c)CCC(=O)O,1,20.0
O=CCCc1ccccc1,1,20.0
OCCCc1ccccc1,1,20.0
cccccCCC(=O)O,1,20.0
cccc(c)CCC(=O)O,1,20.0
ccc(cc)CCC(=O)O,1,20.0
O=C(O)CCc1ccccc1,1,20.0
OCO,1,20.0
OCCO,1,20.0
CC(C)O,1,20.0
COCO,1,20.0
CC(O)O,1,20.0
CC(O)CO,1,20.0
OCCCO,1,20.0
COCCO,1,20.0
CCC(C)O,1,20.0
COC(C)C,1,20.0
CCCCC,1,20.0
CCOCO,1,20.0
COC(C)O,1,20.0
COCOC,1,20.0
CCC(O)O,1,20.0
OCC(O)O,1,20.0
CCC(O)CO,1,20.0
OCC(O)CO,1,20.0
COC(C)CO,1,20.0
CC(O)CCO,1,20.0
CCCCCO,1,20.0
CCOCCO,1,20.0
OCCOCO,1,20.0
CC(O)C(C)O,1,20.0
CCCC(C)O,1,20.0
CCC(C)OC,1,20.0
CCOC(C)C,1,20.0
CC(C)OCO,1,20.0
CCC(O)CC,1,20.0
CCCCCC,1,20.0
CCOC(C)O,1,20.0
CCOCOC,1,20.0
COCC(C)O,1,20.0
C1CCOCC1,1,20.0
COCCCO,1,20.0
CCCOCO,1,20.0
CCC(O)OC,1,20.0
COC(O)CO,1,20.0
COC(C)OC,1,20.0
CCCC(O)O,1,20.0
OCCC(O)O,1,20.0
CC(O)C(O)O,1,20.0
COCCOC,1,20.0
CC(O)C(O)CO,1,20.0
CCCC(O)CO,1,20.0
OCCC(O)CO,1,20.0
CCC(CO)OC,1,20.0
COC(CO)CO,1,20.0
CCOC(C)CO,1,20.0
CC(CO)OCO,1,20.0
CCC(O)CCO,1,20.0
CC(O)CCCO,1,20.0
CCCCCCO,1,20.0
OCCCCCO,1,20.0
CCCOCCO,1,20.0
OCCOCCO,1,20.0
CC(O)OCCO,1,20.0
COCOCCO,1,20.0
CCC(O)C(C)O,1,20.0
COC(C)C(C)O,1,20.0
CC(O)CC(C)O,1,20.0
CC1CCCCO1,1,20.0
COC(C)CCO,1,20.0
CCC(C)OCO,1,20.0
CC(C)OCCO,1,20.0
CC(C)OC(C)O,1,20.0
COCOC(C)C,1,20.0
CCCC(O)CC,1,20.0
CCCCC(C)O,1,20.0
CCOCCCO,1,20.0
CCOCC(C)O,1,20.0
CCOC(O)CC,1,20.0
CCOC(O)CO,1,20.0
CCOC(C)OC,1,20.0
CCOCOCC,1,20.0
OC1CCCOC1,1,20.0
COCC(O)CO,1,20.0
CC(O)COCO,1,20.0
OC1CCOCC1,1,20.0
OC1CCCCO1,1,20.0
OCCCOCO,1,20.0
CCCOCOC,1,20.0
CCCCCOC,1,20.0
COC(O)CCO,1,20.0
COC(O)C(C)O,1,20.0
CCC(OC)OC,1,20.0
COC(CO)OC,1,20.0
OCCCC(O)O,1,20.0
CC(O)CC(O)O,1,20.0
COCCC(C)O,1,20.0
CCC(O)C(O)O,1,20.0
CCC(O)COC,1,20.0
CCCC(O)OC,1,20.0
OCC(O)C(O)O,1,20.0
CCCOC(C)C,1,20.0
CCCOCCC,1,20.0
CCCOC(C)O,1,20.0
CCOC(C)CC,1,20.0
CCOCCOC,1,20.0
COCCOCO,1,20.0
CCCCOCO,1,20.0
COCC(C)OC,1,20.0
CCC(CC)OC,1,20.0
CCCC(C)OC,1,20.0
CCC(O)C(O)CO,1,20.0
OCC(O)C(O)CO,1,20.0
COC(CO)C(C)O,1,20.0
CC(O)CC(O)CO,1,20.0
OCC1CCCCO1,1,20.0
OCCCC(O)CO,1,20.0
COC(CO)CCO,1,20.0
CCC(CO)OCO,1,20.0
CCOC(CO)CO,1,20.0
OCOC(CO)CO,1,20.0
CC(CO)OCCO,1,20.0
CC(O)OC(C)CO,1,20.0
COCOC(C)CO,1,20.0
CC(O)C(O)CCO,1,20.0
CCCC(O)CCO,1,20.0
OCCC(O)CCO,1,20.0
CCC(O)CCCO,1,20.0
CC(O)CCCCO,1,20.0
OCCCCCCO,1,20.0
OCCCOCCO,1,20.0
CC(O)COCCO,1,20.0
CCC(O)OCCO,1,20.0
OCCOC(O)CO,1,20.0
COC(C)OCCO,1,20.0
CCOCOCCO,1,20.0
CC(O)C(O)C(C)O,1,20.0
CC1OCCCC1O,1,20.0
COC(C)C(O)CO,1,20.0
CC(O)C(C)OCO,1,20.0
CC1CC(O)CCO1,1,20.0
CC1CCC(O)CO1,1,20.0
CC1CCCC(O)O1,1,20.0
CC(CCO)OCO,1,20.0
CCC(C)OCOC,1,20.0
CC(C)OC(O)CO,1,20.0
COC(C)OC(C)C,1,20.0
CCOCOC(C)C,1,20.0
CCC(O)C(O)CC,1,20.0
CCC(O)CC(C)O,1,20.0
CCCC(O)C(C)O,1,20.0
CCCCC(O)CO,1,20.0
CCCCCCOC,1,20.0
CCOCC(O)CO,1,20.0
CCOC(O)CCO,1,20.0
